,Unnamed: 0,address
100,100,"Санкт-Петербург, ул. Пионерская, д. 63, лит. А, ч. Пом. 1Н (пом. 4, 8-11, 13, 14, 17, 19, ч. пом. 20 и МОП)"
101,101,"Санкт-Петербург, Московский проспект, д. 155 литер А, пом. 21Н"
102,102,"Санкт-Петербург, Варшавская ул., д. 19, к. 2, лит. А, пом. 65Н"
103,103,"Санкт-Петербург, Трамвайный пр., д. 22, лит. А, кор. 2, пом. 7-Н (ч. п. 1-44, 47-91, 92-184, 185-373)"
104,104,"Санкт-Петербург, Невский пр., д. 46, лит.А, пом. 8-Н, 9-Н, 12-Н, 13-Н, 14-Н, 15-Н, 16-Н, 17-Н, 21-Н, 22-Н,  23-Н, 26-Н, Невский пролспект, д. 44, лит. А, пом. 38-Н"
105,105,"Санкт-Петербург, Ольховая улица, д. 6, лит. А"
106,106,"Санкт-Петербург, Ольховая улица, д. 2, лит. А"
107,107,"Санкт-Петербург, Комендантский пр., д. 34, корп. 1, лит. В, пом. 82-Н"
108,108,"Санкт-Петербург, Богатырский пр., д. 50, кор. 1, лит. А, пом. 27-Н, 32-Н"
109,109,"Санкт-Петербург, Кронштадтская ул., д. 13, лит. А"
110,110,"Санкт-Петербург, проспект Стачек, д. 34, лит. Ж"
111,111,"Санкт-Петербург, Двинская ул., д. 10, литер А, пом. 37-Н"
112,112,"Санкт-Петербург, Канонерский остров, д. 11, к. 1, литер А, пом. 4-н"
113,113,"Санкт-Петербург, ул. Маршала Говорова, д. 22, к. 2, литер А, пом. 1-н"
114,114,"Санкт-Петербург, ул. Маршала Говорова, д. 4, литер А"
115,115,"Санкт-Петербург, улица Косинова, д. 17 лит. А"
116,116,"Санкт-Петербург, улица Гладкова. Д. 4/12, лит. А"
117,117,"Санкт-Петербург, Кавалергардская ул., д. 26, лит. А"
118,118,"Санкт-Петербург, Тверская ул., д. 15, лит. А, часть пом. 1Н (1-24)"
119,119,"Санкт-Петербург, 2-я Советская ул., д. 4, лит. А"
120,120,"Санкт-Петербург, 4-я Советская ул., д. 45-47, лит. Б, пом. 1Н"
121,121,"Санкт-Петербург, ул. Есенина, д. 38, корп. 1, лит. А"
122,122,"Санкт-Петербург, пр. Елизарова, д. 32, корп. 2, лит. Ф"
123,123,"Санкт-Петербург, пер. Ногина, д. 4, лит. А"
124,124,"Санкт-Петербург, пр. Елизарова, д. 32, корп. 2, лит. Ф, ч. пом. 4Н пом. 23, ч. пом. 5Н, пом. 35"
125,125,"Санкт-Петербург, ул. Седова, д. 19, лит. А, пом. 11-Н"
126,126,"Санкт-Петербург, ул. Седова, д. 35, лит. А, пом. 4Н"
127,127,"Санкт-Петербург, Кузнецовская ул., д. 9, лит. А, пом. 1Н, 6Н, 7Н, 8Н, 14Н, 15Н (1-9, 12-18, 23-28, 30-34)"
128,128,"Санкт-Петербург, ул. Ленсовета, д. 8, лит. А, пом. 9Н, 10Н, 12Н, 13Н, ЛК-5"
129,129,"Санкт-Петербург, ул. Кустодиева, д. 6, корп. 1, литер А"
